relative_minutes,T1,T2,T3,T4,PC1,PC2,PC3,total_cpu_rate
143,0.584249666,0.811573982,0.089018469,0.996029976,0.953485661,0.316001887,0.960125891,2280.083652
144,0.587785252,0.809016994,0.089639309,0.995974294,0.922018208,0.306371714,1.043795461,2298.390765
145,0.591309648,0.806444604,0.090260114,0.995918225,0.899791066,0.289507471,0.99920737,2126.562762
146,0.594822787,0.803856861,0.090880884,0.99586177,0.903574649,0.285765742,0.910263639,2126.185808
147,0.598324601,0.801253813,0.091501619,0.995804928,0.901838773,0.283701389,0.876840654,2130.615277
148,0.601815023,0.79863551,0.092122318,0.995747698,0.948045761,0.302492745,0.901910415,2129.948095
149,0.605293988,0.796002003,0.092742981,0.995690082,0.900518465,0.281835914,0.888918867,2123.021147
150,0.608761429,0.79335334,0.093363608,0.995632079,0.845134501,0.256274769,0.843823345,2116.883347
151,0.61221728,0.790689574,0.093984199,0.995573689,0.747529935,0.210786667,0.773494065,2102.246853
152,0.615661475,0.788010754,0.094604754,0.995514912,0.706119128,0.190970341,0.724280798,2092.755601
153,0.619093949,0.785316931,0.095225272,0.995455749,0.688514578,0.182732961,0.709945904,2088.621281
154,0.622514637,0.782608157,0.095845753,0.995396198,0.675180524,0.176664711,0.705040308,2085.257439
155,0.625923472,0.779884483,0.096466196,0.995336261,0.692196028,0.18462093,0.734678657,2085.771869
156,0.629320391,0.777145961,0.097086602,0.995275937,0.697774362,0.186694219,0.7315544,2084.230767
157,0.632705329,0.774392644,0.09770697,0.995215227,0.721195491,0.197018026,0.74472693,2086.136596
158,0.63607822,0.771624583,0.098327301,0.99515413,0.744966818,0.20725322,0.755968391,2091.638945
159,0.639439002,0.768841832,0.098947593,0.995092646,0.736607366,0.203417544,0.745127627,2091.97315
160,0.64278761,0.766044443,0.099567847,0.995030775,0.735828937,0.206454064,0.746677635,2100.058855
161,0.64612398,0.76323247,0.100188062,0.994968518,0.745298813,0.210416561,0.741174724,2100.209388
162,0.649448048,0.760405966,0.100808238,0.994905875,0.772580791,0.222604962,0.729580163,2105.320845
163,0.652759752,0.757564984,0.101428375,0.994842844,0.770708472,0.221537831,0.701333109,2098.024596
164,0.656059029,0.75470958,0.102048472,0.994779427,0.766022437,0.216434332,0.637897958,2080.945092
165,0.659345815,0.751839807,0.10266853,0.994715624,0.774957837,0.230826957,0.666787232,2028.156974
166,0.662620048,0.748955721,0.103288548,0.994651434,0.785553314,0.235545432,0.674777095,2028.847719
167,0.665881666,0.746057375,0.103908526,0.994586858,0.807264601,0.245096158,0.695838152,2028.079025
168,0.669130606,0.743144825,0.104528463,0.994521895,0.833911245,0.256981705,0.720723841,2029.023002
169,0.672366807,0.740218127,0.10514836,0.994456546,0.901674522,0.287993294,0.822419564,2032.426848
170,0.675590208,0.737277337,0.105768216,0.994390811,0.965639955,0.310429912,0.890251186,2007.542255
171,0.678800746,0.734322509,0.106388031,0.994324689,0.986978676,0.321583614,0.927426349,2015.648923
172,0.68199836,0.731353702,0.107007805,0.994258181,0.972943299,0.316050509,0.913543632,2020.534703
173,0.68518299,0.72837097,0.107627537,0.994191286,0.905827297,0.284640248,0.815964361,2017.00458
174,0.688354576,0.725374371,0.108247227,0.994124005,0.859647675,0.262523664,0.750433247,2009.946433
175,0.691513056,0.722363962,0.108866875,0.994056338,0.830948568,0.25846401,0.727086108,2137.77792
176,0.69465837,0.7193398,0.109486481,0.993988285,0.81115907,0.248559478,0.708698846,2133.380464
177,0.69779046,0.716301943,0.110106044,0.993919845,0.789778222,0.239095497,0.695246698,2132.323198
178,0.700909264,0.713250449,0.110725564,0.99385102,0.851246316,0.26478248,0.713843319,2142.285442
179,0.704014724,0.710185376,0.111345042,0.993781808,0.924753946,0.298869935,0.746277205,2201.500775
180,0.707106781,0.707106781,0.111964476,0.99371221,0.917641496,0.324621358,0.740989238,2266.409732
181,0.710185376,0.704014724,0.112583867,0.993642226,0.913821761,0.322563369,0.7233211,2266.341007
182,0.713250449,0.700909264,0.113203214,0.993571856,0.940202614,0.332831342,0.716224616,2266.129291
183,0.716301943,0.69779046,0.113822517,0.993501099,0.953243514,0.338338058,0.711295941,2269.778152
184,0.7193398,0.69465837,0.114441775,0.993429957,0.909400178,0.320548042,0.718762049,2267.513573
185,0.722363962,0.691513056,0.11506099,0.993358429,0.887785749,0.321592881,0.692601969,2156.453798
186,0.725374371,0.688354576,0.115680159,0.993286515,0.86349484,0.310730984,0.683911956,2150.995161
187,0.72837097,0.68518299,0.116299284,0.993214215,0.845594172,0.302791723,0.679959542,2145.71941
188,0.731353702,0.68199836,0.116918363,0.993141529,0.804680783,0.282977456,0.678413184,2132.012714
189,0.734322509,0.678800746,0.117537397,0.993068457,0.777796711,0.269202358,0.67320833,2122.521639
190,0.737277337,0.675590208,0.118156386,0.992994999,0.784993936,0.265825973,0.663620135,2184.145144
191,0.740218127,0.672366807,0.118775328,0.992921156,0.793509244,0.268757279,0.657153261,2185.388061
192,0.743144825,0.669130606,0.119394225,0.992846926,0.775645075,0.26042901,0.653643329,2180.90954
193,0.746057375,0.665881666,0.120013074,0.992772311,0.75505777,0.250790554,0.650411483,2176.216326
194,0.748955721,0.662620048,0.120631878,0.99269731,0.737015185,0.24215296,0.649006876,2165.871943
195,0.751839807,0.659345815,0.121250634,0.992621924,0.631801773,0.192067544,0.519849417,2193.587251
196,0.75470958,0.656059029,0.121869343,0.992546152,0.618767733,0.185656368,0.527201104,2193.25257
197,0.757564984,0.652759752,0.122488005,0.992469994,0.609992343,0.181344753,0.526369942,2194.807107
